[iter 0]:[-644.  187.],[-48. -51.],[213. 209.],[213. 206.],[ -93. -102.],[-83. -94.],[223. 210.],[-60. -75.],[-345. -362.],[ 757. -218.]
[iter 1]:[-2546.  -481.],[-0.  6.],[ 16. 882.],[155.  93.],[-171. -145.],[ -42. -137.],[2597. 3593.],[  59. -165.],[-5864. -6012.],[7069. 6301.]
[iter 2]:[-2518. -2005.],[-11.  15.],[ 868. 1305.],[652. 241.],[-611. -521.],[ -51. -131.],[3149. 3120.],[  440. -1369.],[-9284. -9333.],[10341. 10366.]
[iter 3]:[-3356. -3052.],[ 1. 59.],[1279. 1511.],[770. 295.],[-997. -648.],[-101. -190.],[4198. 4071.],[  557. -2557.],[-11177. -11254.],[12431. 12569.]
[iter 4]:[-4400. -4125.],[10. 77.],[1742. 1806.],[841. 348.],[-1414. -1005.],[-176. -271.],[5202. 5076.],[  408. -3348.],[-12854. -12969.],[14213. 14464.]
[iter 5]:[-5413. -5254.],[14. 83.],[2234. 2229.],[938. 488.],[-1879. -1461.],[-313. -369.],[6185. 6083.],[  192. -3727.],[-14652. -14683.],[16028. 16374.]
[iter 6]:[-6503. -6407.],[21. 75.],[2706. 2664.],[1062.  715.],[-2344. -1903.],[-514. -497.],[7134. 7045.],[   91. -4009.],[-17687. -17752.],[18355. 18879.]
[iter 7]:[-7394. -7351.],[30. 58.],[3182. 3097.],[1216.  985.],[-2832. -2392.],[-760. -650.],[7911. 7859.],[   15. -4234.],[-20238. -20353.],[21139. 21822.]
[iter 8]:[-8133. -8135.],[43. 43.],[3676. 3566.],[1373. 1231.],[-3282. -2849.],[-1040.  -846.],[8617. 8634.],[   37. -4382.],[-22965. -23122.],[23518. 24113.]
[iter 9]:[-8610. -8659.],[47. 37.],[4182. 4096.],[1586. 1467.],[-3725. -3294.],[-1316. -1062.],[9206. 9244.],[   92. -4389.],[-24513. -24643.],[24450. 24951.]
[iter 10]:[-8991. -9066.],[46. 38.],[4624. 4542.],[1782. 1672.],[-4159. -3759.],[-1550. -1263.],[9644. 9705.],[  131. -4349.],[-24971. -25131.],[24667. 25142.]
[iter 11]:[-9325. -9421.],[46. 37.],[4980. 4907.],[1954. 1848.],[-4588. -4228.],[-1776. -1463.],[10029. 10108.],[  179. -4300.],[-25157. -25307.],[24844. 25312.]
[iter 12]:[-9630. -9744.],[40. 35.],[5346. 5264.],[2153. 2052.],[-4984. -4662.],[-1987. -1649.],[10289. 10388.],[  213. -4251.],[-25258. -25412.],[25012. 25468.]
[iter 13]:[ -9932. -10042.],[40. 37.],[5654. 5551.],[2321. 2221.],[-5309. -5046.],[-2167. -1795.],[10500. 10653.],[  217. -4223.],[-25339. -25509.],[25235. 25649.]
[iter 14]:[-10209. -10293.],[40. 39.],[5915. 5802.],[2463. 2357.],[-5586. -5385.],[-2343. -1943.],[10706. 10893.],[  186. -4201.],[-25436. -25617.],[25313. 25724.]
[iter 15]:[-10412. -10477.],[41. 42.],[6127. 6012.],[2576. 2471.],[-5840. -5674.],[-2498. -2089.],[10917. 11129.],[  152. -4172.],[-25505. -25701.],[25394. 25820.]
[iter 16]:[-10613. -10642.],[36. 41.],[6281. 6181.],[2670. 2554.],[-6024. -5910.],[-2623. -2209.],[11083. 11311.],[  158. -4150.],[-25574. -25785.],[25446. 25870.]
[iter 17]:[-10786. -10778.],[31. 44.],[6418. 6331.],[2752. 2621.],[-6175. -6107.],[-2723. -2309.],[11251. 11486.],[  198. -4109.],[-25594. -25816.],[25489. 25928.]
[iter 18]:[-10944. -10907.],[28. 45.],[6513. 6438.],[2804. 2672.],[-6332. -6308.],[-2814. -2401.],[11394. 11618.],[  206. -4084.],[-25638. -25847.],[25558. 26010.]
[iter 19]:[-11088. -11045.],[24. 44.],[6580. 6508.],[2840. 2704.],[-6469. -6460.],[-2885. -2475.],[11482. 11714.],[  235. -4035.],[-25685. -25901.],[25594. 26050.]
[iter 20]:[-11218. -11184.],[21. 42.],[6631. 6560.],[2866. 2732.],[-6568. -6567.],[-2936. -2520.],[11550. 11786.],[  228. -3993.],[-25759. -25979.],[25641. 26105.]
